time_sec,total_people,people_looking,percent
0.0,16,9,0.562
5.0,15,10,0.667
10.0,15,10,0.667
15.0,17,12,0.706
20.0,14,9,0.643
25.0,15,11,0.733
30.0,14,11,0.786
35.0,16,15,0.938
40.0,15,12,0.8
45.0,14,10,0.714
50.0,16,13,0.812
55.0,17,15,0.882
60.0,17,15,0.882
65.0,14,12,0.857
70.0,14,12,0.857
75.0,16,14,0.875
80.0,16,13,0.812
85.0,14,11,0.786
90.0,14,10,0.714
95.0,14,11,0.786
100.0,16,15,0.938
105.0,16,14,0.875
110.0,15,11,0.733
115.0,16,11,0.688
120.0,17,13,0.765
125.0,15,10,0.667
130.0,15,10,0.667
135.0,16,13,0.812
140.0,15,12,0.8
145.0,16,13,0.812
150.0,17,14,0.824
155.0,16,15,0.938
160.0,16,14,0.875
165.0,18,13,0.722
170.0,1,1,1.0
175.0,1,1,1.0
180.0,1,1,1.0
185.0,1,1,1.0
190.0,2,1,0.5
195.0,1,1,1.0
200.0,3,2,0.667
205.0,2,1,0.5
210.0,2,1,0.5
215.0,2,1,0.5
220.0,2,1,0.5
225.0,2,1,0.5
230.0,2,1,0.5
235.0,1,0,0.0
240.0,1,0,0.0
245.0,1,0,0.0
250.0,1,0,0.0
255.0,1,0,0.0
260.0,1,1,1.0
265.0,1,1,1.0
270.0,1,1,1.0
275.0,1,1,1.0
280.0,1,1,1.0
285.0,1,1,1.0
290.0,1,0,0.0
295.0,1,0,0.0
300.0,1,0,0.0
305.0,1,0,0.0
310.0,1,1,1.0
